16:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.4, 'offline_max_remove_network': 0, 'reward_penalty': 0.1, 'step_sampling': True}, 'top1': 0.4, 'top2': 0.775}
17:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.4, 'offline_max_remove_network': 0, 'reward_penalty': 0.1, 'step_sampling': False}, 'top1': 0.265, 'top2': 0.73}
18:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 1, 'reward_penalty': 0.001, 'step_sampling': True}, 'top1': 0.165, 'top2': 0.585}
20:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 1, 'reward_penalty': 0.005, 'step_sampling': True}, 'top1': 0.235, 'top2': 0.72}
21:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 1, 'reward_penalty': 0.005, 'step_sampling': False}, 'top1': 0.185, 'top2': 0.58}
22:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 1, 'reward_penalty': 0.1, 'step_sampling': True}, 'top1': 0.185, 'top2': 0.625}
23:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 1, 'reward_penalty': 0.1, 'step_sampling': False}, 'top1': 0.15, 'top2': 0.63}
24:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 2, 'reward_penalty': 0.001, 'step_sampling': True}, 'top1': 0.135, 'top2': 0.37}
25:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 2, 'reward_penalty': 0.001, 'step_sampling': False}, 'top1': 0.12, 'top2': 0.405}
26:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 2, 'reward_penalty': 0.005, 'step_sampling': True}, 'top1': 0.12, 'top2': 0.41}
27:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 2, 'reward_penalty': 0.005, 'step_sampling': False}, 'top1': 0.08, 'top2': 0.41}
28:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 2, 'reward_penalty': 0.1, 'step_sampling': True}, 'top1': 0.1, 'top2': 0.395}
29:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 2, 'reward_penalty': 0.1, 'step_sampling': False}, 'top1': 0.11, 'top2': 0.445}
30:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 0, 'reward_penalty': 0.001, 'step_sampling': True}, 'top1': 0.36, 'top2': 0.78}
